Filename,Barking,Howling,Crying,COSmoke,GlassBreaking,Other
public_00001,0.017040150240063667,0.9797950983047485,0.00024792467593215406,3.504120832076296e-05,0.00012712980969808996,0.0027546174824237823
public_00002,1.6965190297923982e-05,9.998805580835324e-06,0.0002258643216919154,7.4801223490794655e-06,6.371752533596009e-06,0.9997333884239197
public_00003,0.8857269287109375,3.10864933794619e-08,0.11408040672540665,0.00019261406851001084,1.0463882915701106e-07,5.824599691450771e-10
public_00004,0.002440595766529441,0.004928834270685911,8.179766882676631e-05,0.00036776112392544746,0.0009516141144558787,0.9912294149398804
public_00005,0.71746426820755,0.00015959955635480583,0.010726899839937687,0.010775488801300526,0.26087379455566406,2.4972781620391515e-09
public_00006,0.00040867330972105265,0.999589741230011,1.499753352618427e-06,2.392734621547987e-10,2.454302872045844e-10,1.0346056233956347e-09
public_00007,0.0062251645140349865,0.0345667339861393,0.8350593447685242,0.12201245129108429,0.001876819645985961,0.0002594577963463962
public_00008,3.6326864005786774e-07,2.9295539327733877e-09,5.934517162131669e-07,0.999998927116394,1.3760654837824404e-07,2.275088728520558e-10
public_00009,5.804811742393667e-09,2.0253385080160058e-10,1.0,3.054699604376765e-09,1.0745801817813039e-11,1.4108545443036746e-09
public_00010,3.537641360407129e-11,6.22224563540108e-11,5.375354050762837e-10,2.4783747276657664e-10,5.891286347647906e-10,1.0
public_00011,1.669688572292216e-05,1.6148826034623198e-05,0.0002133824600605294,0.0002976943214889616,0.00013140459486749023,0.9993246793746948
public_00012,0.9138744473457336,0.08515813946723938,5.485429142026987e-07,2.9463569717336213e-07,4.050248492148967e-07,0.0009661706280894578
public_00013,3.155642969154826e-10,0.01738441176712513,0.98261559009552,2.677970345477121e-10,1.8682404581693568e-11,2.8575572897510115e-12
public_00014,1.7005455447360873e-05,6.560778274433687e-06,2.8212372438218836e-09,6.735033821314573e-06,0.008729591965675354,0.9912402033805847
public_00015,2.975732797949604e-07,5.35388835487538e-07,6.019377565280593e-07,1.4323927643999923e-07,2.5579633984307293e-06,0.9999959468841553
public_00016,0.9393088817596436,0.00020582393335644156,2.7603857233771123e-05,4.649380571208894e-06,2.6347446691943333e-05,0.06042672321200371
public_00017,0.5657644271850586,0.4342353045940399,1.6686815484945328e-08,2.6553212406632554e-10,4.2226739466189045e-11,2.80030604926651e-07
public_00018,0.5039262771606445,0.0197399090975523,0.2621673345565796,0.00564654590561986,0.001656903070397675,0.20686304569244385
public_00019,6.160473020599966e-08,8.668814189149998e-06,1.6528840518503785e-08,4.7166377470375664e-08,4.02936302634771e-06,0.9999871253967285
public_00020,5.5816875565994906e-09,1.1803205079985446e-09,9.546982995822795e-12,1.0,3.494057043695875e-09,1.9320016420021346e-10
public_00021,2.717850520639331e-06,0.009238426573574543,0.9906094074249268,6.249124271562323e-05,5.251817128737457e-05,3.456634658505209e-05
public_00022,5.763707804362639e-07,0.005681389942765236,0.9941346049308777,0.00016219601093325764,4.9088839659816585e-06,1.631990380701609e-05
public_00023,0.9962543249130249,1.4798107486058143e-06,3.881702959063205e-09,7.737487521808362e-07,8.78426872077398e-05,0.003655601991340518
public_00024,1.4455838481808314e-07,2.210367548318069e-16,5.575753090581466e-19,7.063560890710474e-13,0.9999998807907104,1.3549060235326443e-18
public_00025,9.914225529428222e-07,9.798871906241402e-05,3.3505969554425974e-07,1.8406309365559537e-08,2.375422809564043e-06,0.9998983144760132
public_00026,8.028573574847542e-06,0.9999868869781494,5.034119567426387e-06,3.1228253316584187e-09,1.1517768960800367e-08,8.87434552510058e-08
public_00027,6.8532454017278255e-12,3.356263834561335e-12,9.618521257248602e-12,1.0,8.221608116532053e-11,1.1244728293034051e-13
public_00028,2.4654542585267336e-07,9.386290571455902e-07,4.681545107132479e-08,8.202724721684262e-09,1.003119109554973e-06,0.9999978542327881
public_00029,2.9063843612675555e-05,0.5761681795120239,0.011383254081010818,2.2621852622251026e-06,0.00011556592653505504,0.4123016893863678
public_00030,2.3918539525624084e-18,1.55117011281782e-17,3.104111384763239e-17,1.0,1.2425947925232168e-14,6.280583073674738e-16
public_00031,1.6328564811374235e-07,2.8591597356353304e-07,1.8858726136272708e-08,9.47880707258264e-08,3.763057350170129e-07,0.9999990463256836
public_00032,0.00023945253633428365,0.7183153033256531,6.853543891338632e-05,4.614116278389702e-06,7.303064194275066e-05,0.2812991142272949
public_00033,1.2463137188944984e-08,6.0513488278957084e-05,0.9999393224716187,7.389197520524249e-08,1.9377566218281572e-09,9.06358899044335e-09
public_00034,1.5792014892213047e-05,7.426509629482325e-09,1.2182646059955005e-05,0.6128265857696533,0.000966886174865067,0.3861786127090454
public_00035,0.0004658765683416277,0.9338001608848572,0.0657331645488739,9.821878421689689e-08,4.368525541309509e-09,6.279708486545132e-07
public_00036,0.7931466698646545,0.008504410274326801,5.647900369609715e-09,5.139415407029446e-06,0.14613835513591766,0.052205394953489304
public_00037,5.840852281835396e-07,7.341106993408175e-07,3.1219138918459066e-07,3.6416952298168326e-07,7.626339311173069e-07,0.9999972581863403
public_00038,0.012958480976521969,0.0003471365198493004,0.37502023577690125,0.00014097473467700183,0.0016649112803861499,0.6098682284355164
public_00039,3.4777527616824955e-05,0.03788435086607933,0.0020637738052755594,0.0007166079594753683,0.0011028117733076215,0.9581975936889648
public_00040,0.960289478302002,0.008934017270803452,0.026920799165964127,0.0011421372182667255,0.00019000987231265754,0.0025234855711460114
public_00041,2.344343164040197e-09,8.735721868102786e-11,4.972836586958351e-10,0.9999991655349731,7.944664730530349e-07,2.1244887359744835e-12
public_00042,6.274306703531185e-13,7.600176760993397e-15,2.1112476535686973e-17,1.6423791493469508e-10,1.0,2.2765030962754174e-13
public_00043,3.371747538949421e-07,3.0591318136430345e-06,3.7179970213685465e-10,4.466138747716286e-08,0.0008052195189520717,0.9991913437843323
public_00044,1.1868226401645643e-08,9.732029404574405e-09,1.06315155790071e-07,1.3294915106598637e-06,4.193058884993661e-06,0.9999943971633911
public_00045,0.5665626525878906,0.31569960713386536,6.790569841541583e-06,9.851485629042145e-06,5.908113234909251e-05,0.11766204982995987
public_00046,5.266221592137299e-08,4.1540204165357864e-07,1.183088329526072e-06,5.116216925671324e-07,9.377242531627417e-05,0.9999040365219116
public_00047,0.0007365289493463933,0.000756499299313873,0.0103107038885355,0.44518938660621643,0.0003170549462083727,0.5426898002624512
public_00048,1.9299717735066224e-07,0.9997854828834534,0.00021430739434435964,3.374273430112318e-11,2.3958963285553025e-11,1.4296501760213687e-09
public_00049,1.2005908729406656e-06,0.9659983515739441,0.03399989753961563,2.649067312177067e-07,1.491168006850785e-07,1.9449126398285443e-07
public_00050,5.59509253164614e-12,0.999998927116394,1.0479236607352505e-06,1.4035101206233414e-12,2.957305624343154e-12,1.1760162071591806e-12
public_00051,0.021790828555822372,0.09212121367454529,0.8727983236312866,5.005189814255573e-05,5.7262736845586915e-06,0.01323392428457737
public_00052,5.703805527446093e-06,1.2425003887983621e-06,2.0432717064977624e-05,0.9999667406082153,1.2822607686757692e-06,4.620840172719909e-06
public_00053,1.808747015275003e-06,1.183250788017176e-06,4.839998268835188e-07,0.0001924687239807099,1.6154737636497885e-07,0.9998039603233337
public_00054,0.028224602341651917,0.8607063889503479,0.003384192707017064,0.00019800047448370606,0.00056976213818416,0.10691709071397781
public_00055,4.404796345625073e-05,1.2713948649434315e-07,3.288943730694882e-07,3.834890449638806e-08,1.023130607791245e-06,0.999954342842102
public_00056,2.3582629684497976e-15,5.05957481076036e-19,3.451098038538662e-24,6.97550796184348e-16,1.0,1.5179738659109645e-17
public_00057,0.0006754393107257783,0.00013681320706382394,4.699422788689844e-06,0.0005073777865618467,0.002065567532554269,0.9966101050376892
public_00058,1.6019667814504146e-09,8.559289277343396e-09,2.837046153558731e-09,2.862718950780163e-09,4.6171615508683317e-07,0.9999995231628418
public_00059,2.2008294763509184e-05,0.9295586943626404,0.06997150927782059,0.0004404850478749722,2.3494156664582988e-07,7.098421519913245e-06
public_00060,1.0414488542664913e-06,0.0014342311769723892,0.998563826084137,8.807172235947291e-08,2.9410790602923953e-07,5.268015570436546e-07
public_00061,1.3625477777168271e-06,2.890770247176988e-06,1.1592300452889504e-08,1.780377623106233e-08,5.540772690437734e-06,0.9999902248382568
public_00062,6.10054030403262e-06,0.007660225499421358,2.238928573206067e-05,3.659634785435628e-06,9.982925257645547e-05,0.9922078251838684
public_00063,0.001032673753798008,0.984958291053772,0.0010849864920601249,1.6244937796727754e-05,1.1101743439212441e-05,0.012896714732050896
public_00064,0.033423516899347305,0.9665759205818176,4.98399685966433e-07,6.651398987145285e-09,3.198348963451281e-08,1.0724152588181823e-07
public_00065,2.5990857466240413e-05,7.326476770685986e-05,2.1398555816176668e-08,8.306353265652433e-06,0.4112529456615448,0.588639497756958
public_00066,5.3005318477516994e-05,0.9999229907989502,2.288133509864565e-05,1.4432424677579547e-07,2.955582942831825e-07,6.288602776294283e-07
public_00067,1.4571023712051101e-05,3.939706948585808e-05,0.9986132383346558,0.0013268750626593828,2.580228795068251e-07,5.718057309422875e-06
public_00068,5.59281352252583e-06,5.36028028363944e-06,2.054012611552025e-06,0.9999278783798218,5.795156903332099e-05,1.222223090735497e-06
public_00069,0.8333843946456909,0.0011975524248555303,0.16541393101215363,1.4221693618310383e-06,6.933162239874946e-07,1.9594608602346852e-06
public_00070,9.954272172763012e-06,1.042769071091243e-07,2.288044242959586e-08,0.9999769926071167,1.2375316146062687e-05,6.760640189895639e-07
public_00071,0.00012328200682532042,0.15713809430599213,0.8425387144088745,2.660483369254507e-05,4.072249453201948e-07,0.00017286845832131803
public_00072,8.98525286174845e-07,0.00013047172978986055,0.9870771169662476,0.012790238484740257,1.284309291804675e-06,2.1921644499656168e-09
public_00073,8.022321708267555e-05,0.03217359632253647,0.00026973511558026075,0.0003376916574779898,0.0004359716840554029,0.9667028188705444
public_00074,6.669562935712747e-06,0.9999886751174927,3.7110751804902975e-07,3.280704596875239e-09,2.8574061161634745e-06,1.4437000572797842e-06
public_00075,1.670240279416646e-09,7.634056601091288e-06,0.9667760133743286,0.033216431736946106,6.010155928493077e-09,3.1017144408451713e-10
public_00076,0.008030848577618599,0.7502709031105042,0.011527874507009983,0.019116533920168877,0.005852361675351858,0.2052014321088791
public_00077,0.19613653421401978,0.002135826973244548,9.991923661800683e-07,4.386469299788587e-05,4.601656110025942e-05,0.8016366958618164
